date,market,turnover_krw,close,institution_net_x,individual_net_x,foreign_net_x,individual_ratio,foreign_ratio,institution_ratio,institution_net_y,individual_net_y,foreign_net_y,institution_net,individual_net,foreign_net,turnover_ma20,turnover_std20,turnover_ratio20,turnover_z20,turnover_chg_5d,turnover_chg_20d,ret_1d,ret_5d,ret_20d
2022-02-21,KOSPI,7896734000000.0,2743.8,,,,,,,,,,,,,11127460550000.0,2745406945722.0723,0.7096618284573474,-1.1767751061583636,-0.3180352293260429,-0.1816064703457858,-0.00026234095579547034,0.014538839259303105,-0.03464824014523549
2022-02-22,KOSDAQ,7066242000000.0,868.11,,,,,,,,,,,,,7953101900000.0,1114625492167.5164,0.8884888046008815,-0.7956572913790082,0.015067183769134518,-0.016967374478781716,-0.018252756573367224,0.033562720259072254,-0.09449254198393664
2022-02-22,KOSPI,10590490000000.0,2706.79,,,,,,,,,,,,,11213384150000.0,2697577720740.147,0.9444508328915139,-0.2309086945710293,0.12236925744984495,0.19369572965248727,-0.013488592463007598,0.011301904697856191,-0.05445596434110689
2022-02-23,KOSDAQ,6859833000000.0,877.33,,,,,,,,,,,,,7898607050000.0,1141126901759.6282,0.8684864250842812,-0.9103054606794396,-0.05790793613778722,-0.13709861844364524,0.010620773865063216,-0.0009337812446620353,-0.06949143554117831
2022-02-23,KOSPI,9138534000000.0,2719.53,,,,,,,,,,,,,11134405450000.0,2735695212405.2295,0.820747370933937,-0.7295664520482986,0.08923259120538396,-0.14737433136519995,0.0047066820846835,-0.0037183845725504705,-0.04048985813025474
2022-02-24,KOSDAQ,8953088000000.0,848.21,,,,,,,,,,,,,7949360650000.0,1165289662719.659,1.1262651669980528,0.8613543757501546,0.002880354290074605,0.12787477374699163,-0.03319161546966365,-0.02975223627919743,-0.07339960672929857
2022-02-24,KOSPI,13586138000000.0,2648.8,,,,,,,,,,,,,11348487800000.0,2752437371142.1777,1.19717606781055,0.8129704324830626,0.15010981634068843,0.46016993299257325,-0.026008170529466468,-0.03472553742770823,-0.051289398280802256
2022-02-25,KOSDAQ,8691598000000.0,872.98,,,,,,,,,,,,,7941126950000.0,1159109734904.2686,1.0945043511739854,0.6474547037274101,0.3781718684542925,-0.018594054021827677,0.029202673866141726,-0.009901214685100523,-0.018506026263716557
2022-02-25,KOSPI,12221012000000.0,2676.76,,,,,,,,,,,,,11374491150000.0,2758392620012.705,1.0744227446165802,0.30688918026328715,0.4363564605183947,0.044446581024011333,0.010555723346421075,-0.024689198839869864,-0.016038141589992505
2022-02-28,KOSDAQ,6936756000000.0,881.07,,,,,,,,,,,,,7844365950000.0,1158088247758.8257,0.8842978571136141,-0.7837139801361767,0.20003736733299315,-0.2181272807771346,0.009267108066622454,-0.0035962680237489053,-0.0011563445906880299
